spotify:artist:4k1ELeJKT1ISyDv8JivPpB	The Prodigy
spotify:artist:2xupoYyooRpQS00KhQPkZJ	The Refugee Camp All-Stars
spotify:artist:3AQRLZ9PuTAozP28Skbq8V	The Script
spotify:artist:60FV7KyxIH9FH1uq7u8inP	The Shapeshifters
spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i	The Smashing Pumpkins
spotify:artist:7gAppWoH7pcYmphCVTXkzs	The Vamps
spotify:artist:2cGwlqi3k18jFpUyTrsR84	The Verve
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd
spotify:artist:67ea9eGLXYMsO2eYQRui3w	The Who
spotify:artist:3iOvXCl6edW5Um0fXEBRXy	The xx
spotify:artist:74eX4C98E4FCrAMl39qRsJ	Theory of a Deadman
spotify:artist:766wIvoqqGrjRDnExOjJls	Thirteen Senses
spotify:artist:2xiIXseIJcq3nG7C8fHeBj	Three Days Grace
spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ	Timbaland
spotify:artist:2uhEmRPgI5Ppg2T3o8VP31	Tina Cousins
spotify:artist:0NIIxcxNHmOoyBx03SfTCD	Tinashe
spotify:artist:0Tob4H0FLtEONHU1MjpUEp	Tinie Tempah
spotify:artist:4Uwx6qzRn0kA9sz6cCDpBO	Tkandz
spotify:artist:6DvlemMOlMH6VD9tB7BPRf	Tom MacDonald
spotify:artist:7z2avKuuiMAT4XZJFv8Rvh	Tom Walker
spotify:artist:73jlPRxT7z5xk29sMqFDjU	Tommee Profitt
spotify:artist:4exLIFE8sISLr28sqG1qNX	Travis Barker
spotify:artist:5XfBH1AT964RDzmE8MZURI	Trisha Paytas
spotify:artist:6vbY3hOaCAhC7VjucswgdS	Twista
spotify:artist:51Blml2LZPmy7TTiAg47vQ	U2
spotify:artist:23zg3TcAtWQy7J6upgbUnj	USHER
spotify:artist:0LyfQWJT6nXafLPZqxe9Of	Various Artists
spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA	Vera Blue
spotify:artist:67nwj3Y5sZQLl72VNUHEYE	Wale
spotify:artist:2B4ZHz4QDWJTXPFPgO5peE	Warren G
spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3	Wiley
spotify:artist:085pc2PYOi8bGKj0PNjekA	will.i.am
spotify:artist:137W8MRPWKqSmrBGDBFSop	Wiz Khalifa
spotify:artist:0T2sGLJKge2eaFmZJxX7sq	Wretch 32
spotify:artist:7aBzpmFXB4WWpPl2F7RjBe	Wyclef Jean
spotify:artist:57anmI1X2hXWPrNagFdzZr	YACHT
spotify:artist:4tPyCwWrsvZ8OKYl7QRavL	Yumi Zouma
spotify:artist:6Ad91Jof8Niiw0lGLLi3NW	YUNGBLUD
spotify:artist:1Xylc3o4UrD53lo9CvFvVg	Zara Larsson
spotify:artist:7LIy7KinYq7a83dUH6kvxT	Zayde Wølf
spotify:artist:517iCrN4Tsr4s6JhwPprKG	Zel Mari
spotify:artist:0QR764k0D36npmTMWx5bft	Żabson
